cadence,elevation,distance,temperature,humidity,aqi,heart_rate
159,34.1,258.8,19.0,63.1,37,92
160,34.1,261.8,19.0,63.1,37,95
160,34.1,264.9,19.0,63.1,37,95
158,34.2,268.4,19.0,63.1,37,94
160,34.2,271.4,19.0,63.1,37,94
157,34.2,273.8,19.0,63.1,37,93
156,34.3,276.7,19.0,63.1,37,91
156,34.4,280.4,19.0,63.1,37,93
158,34.4,284.2,19.0,63.1,37,93
158,34.4,287.5,19.0,63.1,37,93
159,34.4,290.8,19.0,63.1,37,94
159,34.3,293.4,19.0,63.1,37,94
160,34.4,296.2,19.0,63.1,37,94
160,34.5,298.7,19.0,63.1,37,95
157,34.4,302.2,19.0,63.1,37,93
160,34.5,305.7,19.0,63.1,37,94
159,34.5,309.2,19.0,63.1,37,94
157,34.5,312.1,19.0,63.1,37,92
159,34.5,314.9,19.0,63.1,37,95
159,34.6,317.6,19.0,63.1,37,93
156,34.6,320.1,19.0,63.1,37,91
159,34.6,323.0,19.0,63.1,37,93
157,34.6,326.7,19.0,63.1,37,93
158,34.7,330.2,19.0,63.1,37,91
158,34.7,333.3,19.0,63.1,37,95
158,34.7,336.5,19.0,63.1,37,93
156,34.7,339.2,19.0,63.1,37,93
160,34.7,342.1,19.0,63.1,37,95
157,34.7,345.2,19.0,63.1,37,93
156,34.7,348.5,19.0,63.1,37,93
157,34.7,351.5,19.0,63.1,37,93
159,34.7,354.1,19.0,63.1,37,93
158,34.8,357.6,19.0,63.1,37,94
158,34.8,361.4,19.0,63.1,37,93
160,34.8,364.6,19.0,63.1,37,94
156,34.8,368.0,19.0,63.1,37,93
160,34.9,371.0,19.0,63.1,37,94
160,34.9,374.5,19.0,63.1,37,95
156,35.0,378.2,19.0,63.1,37,93
159,35.0,381.9,19.0,63.1,37,94
156,35.0,385.5,19.0,63.1,37,94
157,35.0,388.3,19.0,63.1,37,93
160,35.0,391.2,19.0,63.1,37,94
158,35.1,394.7,19.0,63.1,37,93
157,35.1,398.4,19.0,63.1,37,93
156,35.2,401.2,19.0,63.1,37,94
160,35.1,404.4,19.0,63.1,37,94
159,35.1,407.6,19.0,63.1,37,95
157,35.1,410.8,19.0,63.1,37,95
156,35.2,414.2,19.0,63.1,37,94
157,35.2,416.9,19.0,63.1,37,93
160,35.1,420.6,19.0,63.1,37,94
159,35.2,424.3,19.0,63.1,37,93
160,35.2,427.8,19.0,63.1,37,94
159,35.3,431.3,19.0,63.1,37,94
156,35.4,434.3,19.0,63.1,37,93
157,35.4,437.1,19.0,63.1,37,93
159,35.5,440.0,19.0,63.1,37,95
159,35.4,443.2,19.0,63.1,37,94
159,35.5,446.9,19.0,63.1,37,94
159,35.5,450.1,19.0,63.1,37,95
159,35.5,453.5,19.0,63.1,37,93
158,35.5,457.2,19.0,63.1,37,95
158,35.5,460.2,19.0,63.1,37,94
157,35.5,463.6,19.0,63.1,37,93
156,35.5,466.7,19.0,63.1,37,93
160,35.5,469.2,19.0,63.1,37,95
158,35.5,472.7,19.0,63.1,37,95
156,35.5,476.1,19.0,63.1,37,93
156,35.5,479.7,19.0,63.1,37,94
159,35.5,482.2,19.0,63.1,37,94
157,35.5,485.8,19.0,63.1,37,94
159,35.6,488.2,19.0,63.1,37,94
156,35.5,491.2,19.0,63.1,37,93
158,35.6,493.8,19.0,63.1,37,94
156,35.6,496.9,19.0,63.1,37,93
158,35.6,500.6,19.0,63.1,37,95
159,35.6,504.1,19.0,63.1,37,95
157,35.6,507.8,19.0,63.1,37,94
156,35.6,510.9,19.0,63.1,37,94
156,35.6,514.7,19.0,63.1,37,94
159,35.6,518.0,19.0,63.1,37,94
159,35.7,521.2,19.0,63.1,37,94
157,35.7,524.1,19.0,63.1,37,93
160,35.7,527.6,19.0,63.1,37,96
156,35.7,530.1,19.0,63.1,37,93
159,35.7,533.7,19.0,63.1,37,94
160,35.7,537.4,19.0,63.1,37,95
160,35.7,540.1,19.0,63.1,37,95
157,35.7,542.7,19.0,63.1,37,93
159,35.7,545.9,19.0,63.1,37,95
157,35.8,549.3,19.0,63.1,37,95
159,35.8,552.7,19.0,63.1,37,95
156,35.9,555.2,19.0,63.1,37,94
158,35.9,558.8,19.0,63.1,37,95
156,35.9,562.4,19.0,63.1,37,91
156,35.9,565.6,19.0,63.1,37,93
158,36.0,569.2,19.0,63.1,37,95
156,36.1,572.3,19.0,63.1,37,94
157,36.1,575.3,19.0,63.1,37,94
160,36.2,578.5,19.0,63.1,37,95
158,36.2,581.8,19.0,63.1,37,95
160,36.2,585.5,19.0,63.1,37,95
160,36.2,588.5,19.0,63.1,37,95
157,36.2,592.0,19.0,63.1,37,95
158,36.2,595.0,19.0,63.1,37,94
157,36.3,598.5,19.0,63.1,37,94
160,36.3,601.5,19.0,63.1,37,96
158,36.4,605.1,19.0,63.1,37,94
156,36.3,608.0,19.0,63.1,37,93
157,36.4,610.9,19.0,63.1,37,93
156,36.4,614.6,19.0,63.1,37,95
157,36.5,618.2,19.0,63.1,37,95
156,36.5,620.8,19.0,63.1,37,94
156,36.5,624.0,19.0,63.1,37,95
157,36.5,626.8,19.0,63.1,37,94
157,36.5,630.4,19.0,63.1,37,94
158,36.6,633.1,19.0,63.1,37,95
157,36.6,636.2,19.0,63.1,37,95
158,36.7,639.9,19.0,63.1,37,95
156,36.6,642.3,19.0,63.1,37,93
156,36.7,645.9,19.0,63.1,37,96
160,36.7,648.4,19.0,63.1,37,97
159,36.7,652.0,19.0,63.1,37,96
157,36.6,654.9,19.0,63.1,37,95
159,36.7,657.4,19.0,63.1,37,94
156,36.6,660.8,19.0,63.1,37,94
160,36.7,664.1,19.0,63.1,37,96
156,36.7,667.1,19.0,63.1,37,95
159,36.7,669.6,19.0,63.1,37,95
158,36.8,673.2,19.0,63.1,37,94
157,36.8,676.0,19.0,63.1,37,94
156,36.8,679.1,19.0,63.1,37,95
156,36.8,682.4,19.0,63.1,37,94
156,36.8,685.8,19.0,63.1,37,94
157,36.9,688.6,19.0,63.1,37,96
159,36.9,691.1,19.0,63.1,37,96
156,36.9,694.5,19.0,63.1,37,94
158,36.9,698.1,19.0,63.1,37,95
158,36.9,700.6,19.0,63.1,37,95
160,36.9,703.5,19.0,63.1,37,97
159,37.0,706.5,19.0,63.1,37,97
159,36.9,710.1,19.0,63.1,37,94
156,37.0,713.5,19.0,63.1,37,97
160,36.9,716.0,19.0,63.1,37,96
160,36.9,718.5,19.0,63.1,37,97
156,36.9,721.1,19.0,63.1,37,93
156,37.0,723.6,19.0,63.1,37,94
156,37.0,727.1,19.0,63.1,37,94
158,37.1,730.3,19.0,63.1,37,96
158,37.1,733.5,19.0,63.1,37,95
156,37.2,736.4,19.0,63.1,37,95
158,37.2,739.6,19.0,63.1,37,94
156,37.2,742.4,19.0,63.1,37,93
156,37.2,746.0,19.0,63.1,37,95
158,37.3,748.5,19.0,63.1,37,96
160,37.3,751.3,19.0,63.1,37,97
157,37.3,754.1,19.0,63.1,37,96
157,37.3,756.9,19.0,63.1,37,94
159,37.3,760.2,19.0,63.1,37,96
160,37.3,762.7,19.0,63.1,37,97
157,37.3,766.2,19.0,63.1,37,95
160,37.3,768.8,19.0,63.1,37,96
159,37.3,772.2,19.0,63.1,37,95
159,37.3,775.5,19.0,63.1,37,96
156,37.3,778.3,19.0,63.1,37,94
156,37.3,780.8,19.0,63.1,37,94
156,37.3,784.3,19.0,63.1,37,95
160,37.3,788.0,19.0,63.1,37,96
157,37.4,791.7,19.0,63.1,37,97
160,37.4,795.4,19.0,63.1,37,98
160,37.3,798.3,19.0,63.1,37,97
159,37.3,801.0,19.0,63.1,37,95
158,37.4,803.4,19.0,63.1,37,96
160,37.3,806.7,19.0,63.1,37,97
158,37.3,810.2,19.0,63.1,37,96
157,37.4,813.9,19.0,63.1,37,95
158,37.4,817.1,19.0,63.1,37,95
158,37.4,820.6,19.0,63.1,37,96
160,37.4,823.6,19.0,63.1,37,96
159,37.5,827.2,19.0,63.1,37,96
158,37.6,830.8,19.0,63.1,37,97
157,37.6,833.3,19.0,63.1,37,95
156,37.7,836.6,19.0,63.1,37,95
158,37.7,839.6,19.0,63.1,37,95
159,37.8,842.8,19.0,63.1,37,96
157,37.8,846.5,19.0,63.1,37,94
157,37.8,849.6,19.0,63.1,37,96
159,37.9,853.4,19.0,63.1,37,97
156,37.8,856.7,19.0,63.1,37,96
156,37.9,859.4,19.0,63.1,37,95
156,37.9,863.2,19.0,63.1,37,95
159,37.9,866.2,19.0,63.1,37,96
159,38.0,869.5,19.0,63.1,37,97
157,38.0,873.2,19.0,63.1,37,94
160,38.0,876.3,19.0,63.1,37,98
157,38.0,878.8,19.0,63.1,37,94
158,38.0,882.2,19.0,63.1,37,95
157,38.0,884.8,19.0,63.1,37,96
158,38.1,888.3,19.0,63.1,37,97
157,38.1,892.1,19.0,63.1,37,95
158,38.1,895.6,19.0,63.1,37,97
157,38.1,898.1,19.0,63.1,37,95
157,38.1,900.8,19.0,63.1,37,96
157,38.2,904.3,19.0,63.1,37,96
159,38.2,907.8,19.0,63.1,37,98
160,38.2,911.5,19.0,63.1,37,97
160,38.3,915.0,19.0,63.1,37,97
160,38.3,917.4,19.0,63.1,37,97
159,38.3,921.1,19.0,63.1,37,98
156,38.3,924.5,19.0,63.1,37,95
157,38.4,927.5,19.0,63.1,37,97
157,38.3,931.1,19.0,63.1,37,97
156,38.4,934.5,19.0,63.1,37,95
158,38.4,938.1,19.0,63.1,37,96
157,38.4,940.9,19.0,63.1,37,96
157,38.4,943.9,19.0,63.1,37,95
160,38.4,947.2,19.0,63.1,37,98
160,38.5,949.7,19.0,63.1,37,97
158,38.4,953.1,19.0,63.1,37,96
160,38.4,956.7,19.0,63.1,37,97
156,38.5,959.7,19.0,63.1,37,96
157,38.4,963.0,19.0,63.1,37,96
157,38.5,966.0,19.0,63.1,37,96
157,38.5,969.0,19.0,63.1,37,95
160,38.5,972.6,19.0,63.1,37,96
159,38.5,976.1,19.0,63.1,37,98
158,38.5,978.9,19.0,63.1,37,97
160,38.5,982.4,19.0,63.1,37,97
157,38.6,985.9,19.0,63.1,37,96
157,38.6,988.6,19.0,63.1,37,96
157,38.7,992.2,19.0,63.1,37,97
157,38.8,994.7,19.0,63.1,37,98
158,38.8,998.2,19.0,63.1,37,96
158,38.8,1001.4,19.0,63.1,37,97
158,38.9,1004.5,19.0,63.1,37,95
156,38.8,1007.2,19.0,63.1,37,96
157,38.9,1010.2,19.0,63.1,37,97
158,38.9,1013.7,19.0,63.1,37,97
156,39.0,1016.8,19.0,63.1,37,95
157,39.0,1019.3,19.0,63.1,37,96
157,39.1,1021.7,19.0,63.1,37,97
159,39.0,1025.5,19.0,63.1,37,95
160,39.1,1028.4,19.0,63.1,37,98
160,39.1,1032.2,19.0,63.1,37,96
156,39.2,1035.5,19.0,63.1,37,95
158,39.2,1039.0,19.0,63.1,37,97
160,39.3,1042.2,19.0,63.1,37,100
156,39.3,1045.4,19.0,63.1,37,95
157,39.3,1048.6,19.0,63.1,37,95
157,39.2,1052.2,19.0,63.1,37,96
157,39.2,1055.4,19.0,63.1,37,98
158,39.2,1058.6,19.0,63.1,37,96
157,39.1,1062.4,19.0,63.1,37,97
158,39.2,1065.0,19.0,63.1,37,96
156,39.2,1067.9,19.0,63.1,37,98
156,39.3,1071.2,19.0,63.1,37,97
159,39.2,1074.9,19.0,63.1,37,97
158,39.2,1078.4,19.0,63.1,37,97
160,39.3,1081.0,19.0,63.1,37,98
160,39.2,1084.0,19.0,63.1,37,98
160,39.2,1087.7,19.0,63.1,37,98
159,39.2,1091.5,19.0,63.1,37,97
156,39.2,1094.1,19.0,63.1,37,95
158,39.3,1096.9,19.0,63.1,37,97
156,39.3,1099.6,19.0,63.1,37,95
157,39.3,1102.8,19.0,63.1,37,96
160,39.3,1105.6,19.0,63.1,37,96
160,39.3,1109.3,19.0,63.1,37,97
159,39.3,1113.0,19.0,63.1,37,99
158,39.3,1116.4,19.0,63.1,37,98
158,39.2,1120.1,19.0,63.1,37,97
156,39.3,1123.5,19.0,63.1,37,98
158,39.3,1126.3,19.0,63.1,37,97
157,39.3,1129.4,19.0,63.1,37,97
160,39.3,1132.0,19.0,63.1,37,96
156,39.3,1135.7,19.0,63.1,37,96
156,39.3,1138.2,19.0,63.1,37,97
158,39.4,1140.8,19.0,63.1,37,97
158,39.4,1143.8,19.0,63.1,37,98
157,39.4,1146.9,19.0,63.1,37,97
156,39.4,1150.5,19.0,63.1,37,97
158,39.4,1154.3,19.0,63.1,37,99
158,39.5,1157.6,19.0,63.1,37,96
160,39.5,1160.9,19.0,63.1,37,99
158,39.6,1163.5,19.0,63.1,37,97
157,39.6,1166.7,19.0,63.1,37,97
157,39.6,1169.2,19.0,63.1,37,96
156,39.7,1172.0,19.0,63.1,37,96
160,39.7,1175.2,19.0,63.1,37,98
160,39.7,1178.7,19.0,63.1,37,98
157,39.6,1181.2,19.0,63.1,37,98
156,39.6,1184.9,19.0,63.1,37,97
158,39.7,1188.7,19.0,63.1,37,98
157,39.7,1191.9,19.0,63.1,37,96
156,39.7,1194.9,19.0,63.1,37,96
157,39.7,1197.7,19.0,63.1,37,98
156,39.7,1200.3,19.0,63.1,37,97
156,39.7,1203.9,19.0,63.1,37,98
160,39.7,1207.4,19.0,63.1,37,99
159,39.8,1210.8,19.0,63.1,37,99
158,39.8,1213.7,19.0,63.1,37,98
158,39.8,1216.6,19.0,63.1,37,98
158,39.8,1219.8,19.0,63.1,37,97
160,39.7,1223.0,19.0,63.1,37,98
156,39.8,1225.7,19.0,63.1,37,97
156,39.8,1228.6,19.0,63.1,37,97
156,39.9,1231.2,19.0,63.1,37,96
159,39.8,1234.4,19.0,63.1,37,97
158,39.9,1237.5,19.0,63.1,37,97
160,39.9,1241.0,19.0,63.1,37,98
159,39.9,1244.4,19.0,63.1,37,98
157,39.9,1247.8,19.0,63.1,37,97
156,40.0,1251.1,19.0,63.1,37,98
160,40.0,1254.7,19.0,63.1,37,99
158,40.0,1257.4,19.0,63.1,37,98
159,40.0,1260.1,19.0,63.1,37,98
159,40.0,1263.6,19.0,63.1,37,98
160,40.0,1266.6,19.0,63.1,37,98
156,40.0,1269.1,19.0,63.1,37,95
160,40.1,1272.0,19.0,63.1,37,98
156,40.2,1274.8,19.0,63.1,37,97
156,40.1,1278.5,19.0,63.1,37,97
157,40.1,1281.2,19.0,63.1,37,99
159,40.2,1284.4,19.0,63.1,37,100
157,40.2,1287.0,19.0,63.1,37,98
159,40.1,1290.0,19.0,63.1,37,99
160,40.2,1293.7,19.0,63.1,37,98
158,40.2,1296.9,19.0,63.1,37,99
158,40.1,1300.1,19.0,63.1,37,98
160,40.2,1302.5,19.0,63.1,37,99
158,40.2,1306.0,19.0,63.1,37,98
156,40.3,1309.6,19.0,63.1,37,97
159,40.3,1312.2,19.0,63.1,37,98
160,40.3,1315.8,19.0,63.1,37,100
160,40.4,1318.7,19.0,63.1,37,100
160,40.4,1322.2,19.0,63.1,37,98
160,40.3,1324.8,19.0,63.1,37,98
156,40.4,1328.5,19.0,63.1,37,98
159,40.3,1331.2,19.0,63.1,37,97
156,40.3,1333.9,19.0,63.1,37,97
160,40.3,1337.7,19.0,63.1,37,97
156,40.3,1340.5,19.0,63.1,37,96
160,40.3,1343.4,19.0,63.1,37,98
156,40.3,1346.1,19.0,63.1,37,97
156,40.3,1349.6,19.0,63.1,37,97
160,40.3,1352.3,19.0,63.1,37,99
160,40.3,1355.9,19.0,63.1,37,98
158,40.2,1359.4,19.0,63.1,37,99
158,40.3,1362.0,19.0,63.1,37,98
156,40.4,1365.6,19.0,63.1,37,98
160,40.4,1368.6,19.0,63.1,37,99
157,40.4,1371.2,19.0,63.1,37,97
160,40.4,1374.6,19.0,63.1,37,100
158,40.5,1378.3,19.0,63.1,37,99
160,40.5,1381.9,19.0,63.1,37,98
159,40.6,1384.7,19.0,63.1,37,98
159,40.7,1388.2,19.0,63.1,37,98
156,40.6,1390.8,19.0,63.1,37,96
157,40.6,1394.3,19.0,63.1,37,97
157,40.7,1397.2,19.0,63.1,37,98
159,40.7,1399.9,19.0,63.1,37,100
159,40.8,1403.6,19.0,63.1,37,99
157,40.8,1406.3,19.0,63.1,37,98
159,40.8,1408.7,19.0,63.1,37,99
156,40.8,1411.4,19.0,63.1,37,97
156,40.7,1414.1,19.0,63.1,37,98
159,40.8,1417.8,19.0,63.1,37,98
157,40.8,1421.5,19.0,63.1,37,98
156,40.9,1425.3,19.0,63.1,37,99
159,40.9,1427.7,19.0,63.1,37,100
159,40.9,1431.2,19.0,63.1,37,98
160,40.9,1433.7,19.0,63.1,37,100
160,40.8,1436.6,19.0,63.1,37,99
156,40.8,1440.0,19.0,63.1,37,98
158,40.8,1442.8,19.0,63.1,37,99
156,40.8,1445.2,19.0,63.1,37,95
159,40.8,1449.0,19.0,63.1,37,100
158,40.8,1452.1,19.0,63.1,37,100
158,40.8,1454.6,19.0,63.1,37,98
159,40.7,1458.1,19.0,63.1,37,100
156,40.8,1461.3,19.0,63.1,37,97
160,40.8,1464.9,19.0,63.1,37,99
157,40.8,1468.2,19.0,63.1,37,97
158,40.8,1471.0,19.0,63.1,37,99
160,40.8,1474.6,19.0,63.1,37,100
160,40.8,1478.1,19.0,63.1,37,99
158,40.8,1481.4,19.0,63.1,37,99
158,40.8,1484.3,19.0,63.1,37,98
159,40.8,1487.4,19.0,63.1,37,100
156,40.8,1490.5,19.0,63.1,37,97
160,40.9,1494.0,19.0,63.1,37,100
159,40.9,1497.2,19.0,63.1,37,98
158,40.9,1500.3,19.0,63.1,37,98
159,40.8,1503.0,19.0,63.1,37,100
156,40.9,1505.7,19.0,63.1,37,97
157,40.9,1509.1,19.0,63.1,37,100
160,40.9,1511.9,19.0,63.1,37,100
156,40.9,1514.4,19.0,63.1,37,99
158,41.0,1517.8,19.0,63.1,37,99
157,41.0,1520.6,19.0,63.1,37,99
157,40.9,1523.6,19.0,63.1,37,100
156,40.9,1526.6,19.0,63.1,37,97
157,40.9,1529.4,19.0,63.1,37,98
160,40.9,1533.0,19.0,63.1,37,100
157,41.0,1536.3,19.0,63.1,37,99
158,41.1,1539.1,19.0,63.1,37,98
156,41.0,1542.5,19.0,63.1,37,96
159,41.0,1545.1,19.0,63.1,37,99
156,41.1,1548.3,19.0,63.1,37,98
159,41.1,1551.1,19.0,63.1,37,99
157,41.1,1554.3,19.0,63.1,37,98
160,41.1,1556.9,19.0,63.1,37,99
157,41.1,1559.9,19.0,63.1,37,98
157,41.1,1562.9,19.0,63.1,37,99
157,41.1,1565.6,19.0,63.1,37,98
159,41.1,1568.3,19.0,63.1,37,101
160,41.1,1571.6,19.0,63.1,37,100
156,41.1,1574.9,19.0,63.1,37,98
158,41.1,1577.7,19.0,63.1,37,98
159,41.1,1580.6,19.0,63.1,37,99
156,41.0,1583.3,19.0,63.1,37,97
159,41.0,1586.6,19.0,63.1,37,99
159,41.0,1589.4,19.0,63.1,37,100
160,41.0,1592.3,19.0,63.1,37,100
156,41.0,1595.5,19.0,63.1,37,98
157,41.0,1598.8,19.0,63.1,37,97
156,41.0,1601.7,19.0,63.1,37,97
156,41.0,1604.5,19.0,63.1,37,97
157,41.1,1607.4,19.0,63.1,37,97
156,41.1,1609.9,19.0,63.1,37,98
160,41.1,1613.3,19.0,63.1,37,101
160,41.2,1616.4,19.0,63.1,37,99
157,41.2,1619.9,19.0,63.1,37,98
159,41.2,1622.8,19.0,63.1,37,100
157,41.3,1626.5,19.0,63.1,37,98
157,41.3,1628.9,19.0,63.1,37,99
159,41.2,1632.6,19.0,63.1,37,100
160,41.3,1636.1,19.0,63.1,37,100
159,41.3,1639.9,19.0,63.1,37,99
156,41.3,1643.3,19.0,63.1,37,97
160,41.3,1647.1,19.0,63.1,37,101
157,41.3,1650.8,19.0,63.1,37,99
157,41.3,1653.9,19.0,63.1,37,99
160,41.3,1657.6,19.0,63.1,37,100
160,41.4,1660.9,19.0,63.1,37,100
157,41.4,1664.4,19.0,63.1,37,99
158,41.4,1667.5,19.0,63.1,37,98
157,41.3,1670.8,19.0,63.1,37,99
156,41.3,1674.0,19.0,63.1,37,98
160,41.3,1677.1,19.0,63.1,37,101
160,41.3,1680.5,19.0,63.1,37,100
159,41.3,1683.0,19.0,63.1,37,100
157,41.4,1685.8,19.0,63.1,37,99
157,41.4,1688.7,19.0,63.1,37,100
156,41.4,1691.6,19.0,63.1,37,98
156,41.4,1694.1,19.0,63.1,37,97
157,41.4,1697.1,19.0,63.1,37,98
157,41.5,1700.3,19.0,63.1,37,98
159,41.5,1703.4,19.0,63.1,37,99
159,41.6,1706.0,19.0,63.1,37,98
158,41.5,1709.1,19.0,63.1,37,100
160,41.6,1711.6,19.0,63.1,37,102
159,41.5,1714.9,19.0,63.1,37,101
158,41.5,1717.8,19.0,63.1,37,99
158,41.5,1720.5,19.0,63.1,37,99
160,41.6,1723.8,19.0,63.1,37,100
160,41.6,1726.6,19.0,63.1,37,100
160,41.7,1729.8,19.0,63.1,37,100
157,41.7,1733.0,19.0,63.1,37,99
156,41.7,1736.1,19.0,63.1,37,99
159,41.7,1738.9,19.0,63.1,37,99
158,41.7,1741.5,19.0,63.1,37,99
159,41.7,1743.9,19.0,63.1,37,99
160,41.8,1746.6,19.0,63.1,37,101
159,41.8,1750.2,19.0,63.1,37,100
157,41.7,1753.3,19.0,63.1,37,99
159,41.7,1756.1,19.0,63.1,37,100
160,41.8,1758.8,19.0,63.1,37,100
157,41.8,1762.5,19.0,63.1,37,98
158,41.9,1765.3,19.0,63.1,37,98
159,41.9,1768.2,19.0,63.1,37,99
156,41.9,1770.7,19.0,63.1,37,97
158,42.0,1773.8,19.0,63.1,37,98
160,42.0,1776.4,19.0,63.1,37,100
157,42.0,1779.8,19.0,63.1,37,100
160,42.0,1782.4,19.0,63.1,37,100
159,42.0,1786.2,19.0,63.1,37,100
159,41.9,1788.7,19.0,63.1,37,101
158,42.0,1792.4,19.0,63.1,37,101
156,42.0,1795.6,19.0,63.1,37,98
157,42.0,1798.3,19.0,63.1,37,99
157,42.0,1801.7,19.0,63.1,37,98
157,41.9,1805.1,19.0,63.1,37,98
159,42.0,1808.1,19.0,63.1,37,101
157,42.0,1811.0,19.0,63.1,37,100
157,42.0,1814.1,19.0,63.1,37,99
158,42.0,1817.1,19.0,63.1,37,100
159,42.1,1820.4,19.0,63.1,37,100
156,42.1,1823.3,19.0,63.1,37,97
156,42.1,1826.5,19.0,63.1,37,100
157,42.2,1829.1,19.0,63.1,37,99
159,42.2,1832.2,19.0,63.1,37,99
160,42.2,1835.0,19.0,63.1,37,100
159,42.3,1838.0,19.0,63.1,37,100
159,42.4,1841.4,19.0,63.1,37,100
160,42.3,1844.6,19.0,63.1,37,102
156,42.4,1848.3,19.0,63.1,37,98
158,42.4,1851.7,19.0,63.1,37,100
157,42.5,1854.7,19.0,63.1,37,99
160,42.4,1857.2,19.0,63.1,37,99
158,42.4,1860.8,19.0,63.1,37,100
156,42.5,1863.4,19.0,63.1,37,100
158,42.5,1866.5,19.0,63.1,37,100
158,42.4,1869.0,19.0,63.1,37,100
160,42.5,1871.5,19.0,63.1,37,100
159,42.5,1874.6,19.0,63.1,37,100
158,42.4,1877.5,19.0,63.1,37,100
156,42.5,1880.5,19.0,63.1,37,99
158,42.5,1884.2,19.0,63.1,37,99
158,42.5,1887.1,19.0,63.1,37,101
160,42.5,1889.7,19.0,63.1,37,101
157,42.5,1892.6,19.0,63.1,37,101
157,42.5,1895.5,19.0,63.1,37,99
160,42.5,1899.3,19.0,63.1,37,102
157,42.5,1902.9,19.0,63.1,37,99
156,42.5,1905.8,19.0,63.1,37,99
160,42.5,1909.6,19.0,63.1,37,101
157,42.4,1912.9,19.0,63.1,37,100
156,42.5,1915.7,19.0,63.1,37,99
159,42.5,1918.5,19.0,63.1,37,101
158,42.4,1921.6,19.0,63.1,37,99
159,42.4,1924.5,19.0,63.1,37,101
157,42.4,1927.1,19.0,63.1,37,98
157,42.5,1930.6,19.0,63.1,37,101
157,42.5,1934.4,19.0,63.1,37,100
